log10_HSat2_density_plus_epsilon	log10_HSat3_density_plus_epsilon	pooled_pass
-5.566685808483337	-9.0	1
-5.967254527755145	-9.0	0
-6.191698001260596	-9.0	0
-6.385286363969957	-9.0	0
-6.15845995666262	-9.0	0
-9.0	-5.576474985577867	0
-6.215309169591088	-9.0	0
-5.659644252218988	-9.0	0
-9.0	-6.3486692513793175	0
-9.0	-6.348779920532969	0
-9.0	-6.297476889533865	0
-6.302056753123789	-9.0	0
-5.96712604970404	-9.0	0
-9.0	-6.162254343781131	0
-9.0	-5.939722055189956	0
-9.0	-6.855141240310741	0
-9.0	-6.2953185391339845	0
-9.0	-5.829885363173805	0
-9.0	-6.6178378384207575	0
-9.0	-6.297870471926102	0
-9.0	-6.105287970683737	0
-9.0	-5.827779285171707	0
-7.903587680250962	-9.0	0
-6.02891242551257	-9.0	0
-9.0	-5.85641591826426	0
-6.9564829427379	-9.0	0
-9.0	-6.22533130820175	0
-9.0	-6.005880128641709	0
-9.0	-5.354796485510704	1
-9.0	-7.671199464599405	0
-9.0	-7.2385382064691495	0
-9.0	-6.08770520170143	0
-9.0	-6.094000090652329	0
-8.956107883465604	-4.438121888611549	1
-9.0	-5.147000219627857	1
-9.0	-6.379267153305476	0
-9.0	-6.693832471249418	0
-9.0	-6.354798325561388	0
-9.0	-6.758996207509463	0
-9.0	-7.33635948861913	0
-9.0	-6.8466996002789795	0
-9.0	-5.362198879174878	1
-9.0	-6.344046430301028	0
-9.0	-4.5493622382703	1
-9.0	-5.860783688734282	0
-9.0	-5.169056026060633	1
-6.557725510343459	-9.0	0
-5.689707830451911	-9.0	0
-9.0	-5.7882787464185865	0
-6.062621006813726	-9.0	0
-6.411521365156786	-9.0	0
-6.098413986640113	-9.0	0
-6.748370663247316	-7.797100781723988	0
-6.938476875056715	-9.0	0
-6.662700401263071	-9.0	0
-5.764841600784592	-7.399956185935987	0
-7.938225570408124	-5.965914109661275	0
-5.646063269027981	-5.3734625382657635	1
-4.390373950324826	-7.251613538715323	1
-7.177106945680418	-5.729529113277094	0
-9.0	-7.307240344617321	0
-3.7493694669951885	-9.0	1
-5.7998649205875665	-9.0	0
-6.198793524166608	-7.78787710570359	0
-6.7104829893203854	-9.0	0
-6.201943836271128	-9.0	0
-6.164893666521987	-8.836646598198483	0
-9.0	-5.641262141951873	1
-9.0	-6.718789236743559	0
-9.0	-7.1120479078161285	0
-9.0	-6.229264055667665	0
-4.816326034561907	-9.0	1
-7.60330372821452	-4.841379045000972	1
-9.0	-5.92529200068229	0
-5.110209452161085	-9.0	1
-6.769037553426218	-9.0	0
-8.879739807765889	-6.030911406522177	0
-6.63712691150676	-8.95305205497169	0
-7.998281069718935	-9.0	0
-4.875297115407088	-9.0	1
-9.0	-5.289233511676168	1
-6.32059490028755	-9.0	0
-6.062994620897236	-9.0	0
-6.516687883317883	-9.0	0
-5.757380870755456	-8.95305205497169	0
-5.996211125363308	-9.0	0
-6.108435390444411	-8.910687782941014	0
-5.735260902148128	-9.0	0
-6.684257329463806	-9.0	0
-7.212540672736188	-9.0	0
-8.956107883465604	-7.505113012730087	0
-5.975469890287382	-9.0	0
-8.138191698166816	-5.677151197789478	0
-6.678271256343517	-7.644154280054951	0
-7.9342376408530875	-8.836646598198483	0
-5.466485927358566	-8.69305009792043	1
-6.474074464127396	-9.0	0
-6.522186509487441	-9.0	0
-5.353825002549835	-9.0	1
-6.900868839886801	-9.0	0
-4.963317404555124	-9.0	1
-6.371271743872887	-9.0	0
-6.590277309805496	-6.442828270867066	0
-5.615019733770275	-8.019447918500125	1
-8.814813640983981	-5.8089830123242745	0
-9.0	-7.715213922203227	0
-6.907910187030298	-5.3386046986730324	1
-8.879739807765889	-6.127119796674395	0
-7.993704834478503	-5.654663574056536	1
-9.0	-6.605870585019231	0
-8.9162473954347	-6.232639357450149	0
-9.0	-6.298954666290194	0
-5.907336207287171	-9.0	0
-6.047109595050098	-9.0	0
-6.023320828336974	-9.0	0
-6.557392002432798	-9.0	0
-5.110769383324961	-9.0	1
-4.887628884755267	-8.144802415085241	1
-8.879739807765889	-6.608881986632513	0
-6.132007391225949	-9.0	0
-5.198061439465284	-9.0	1
-7.632024331002305	-9.0	0
-6.267796380100792	-9.0	0
-5.865771929037041	-8.95305205497169	0
-5.61865139473599	-9.0	1
-6.189691820992366	-9.0	0
-9.0	-6.095233049051779	0
-9.0	-6.296200204560147	0
-9.0	-7.436302697917682	0
-6.434391312480909	-9.0	0
