prevalence_fraction	max_chromosome_count_fraction	dominant_chromosome_recurrence
1.0	0.25652782095119675	0.5770308123249299
0.9965095986038395	0.44929862101759394	0.4855595667870036
0.9755671902268761	0.3795298726738492	0.6162464985994398
1.0	0.4213021759376852	0.6434262948207171
0.9947643979057592	0.611358574610245	0.779467680608365
0.9703315881326352	0.9961501816463589	1.0
0.9895287958115183	0.47853562867727173	0.6538461538461539
0.7958115183246073	1.0	1.0
0.9685863874345549	0.5072595281306715	0.4051094890510949
0.9947643979057592	0.9689915513212296	1.0
1.0	0.5067879898388373	0.6311787072243346
1.0	0.23945897384707526	0.49107142857142855
1.0	0.3837139423076923	0.5240174672489083
1.0	0.29607609988109396	0.3107569721115538
0.7452006980802792	1.0	1.0
0.912739965095986	1.0	1.0
1.0	0.6965443486397968	0.9912663755458515
1.0	0.5608974358974359	0.8267857142857142
0.9982547993019197	0.2987205088381037	0.3517110266159696
0.006980802792321117	1.0	1.0
1.0	0.41015151515151516	0.7703081232492998
0.9703315881326352	0.47424242424242424	0.2663755458515284
1.0	0.5974833383069731	0.9737991266375546
1.0	0.3079307291154187	0.4543726235741445
1.0	0.8624273724838537	0.9956331877729258
1.0	0.777242075785668	1.0
1.0	0.35433204327805873	0.5341726618705036
1.0	0.40420584116823366	1.0
1.0	0.48184140931342817	0.9847161572052402
1.0	0.3528612283036498	0.9432314410480349
1.0	0.6396569012537283	0.9934497816593887
0.9982547993019197	0.6013822894168467	0.8555133079847909
1.0	0.5040566474753491	0.9857142857142858
1.0	0.7896807245448724	0.9904942965779467
1.0	0.35391658189216685	0.8296943231441049
1.0	0.27099619529978836	0.4828897338403042
0.9720767888307156	0.8992395437262357	0.9840319361277445
1.0	0.83977570985445	0.9890829694323144
0.9738219895287958	0.8902907295666483	0.5638095238095238
0.9982547993019197	0.7921118793211817	0.9441117764471058
0.9965095986038395	0.6472285184422008	1.0
1.0	0.5370478025445968	0.9563318777292577
0.9965095986038395	0.5424159086101121	0.7794759825327511
0.9528795811518325	0.826044226044226	0.9635854341736695
0.8621291448516579	0.9668055896052954	1.0
1.0	0.6710775047258979	0.710431654676259
1.0	0.3495861550037622	0.6200873362445415
1.0	0.5069941409205889	0.8973799126637555
0.9982547993019197	0.5367671975601491	0.5503597122302158
1.0	0.4020145802304617	0.9344978165938864
0.9912739965095986	0.5776473465394962	0.9915966386554622
0.8202443280977313	0.5821661998132587	0.7535410764872521
1.0	0.7331714270629851	0.9859943977591037
0.731239092495637	1.0	1.0
0.9650959860383944	0.9422604462793155	1.0
1.0	0.7392401899525118	0.9615384615384616
1.0	0.40015374103177315	1.0
0.006980802792321117	1.0	1.0
1.0	0.6445768180689998	0.8543417366946778
0.9982547993019197	0.9538493520892523	0.9956331877729258
1.0	0.9868829356509369	0.9956331877729258
0.9790575916230366	0.8575253171924107	0.6842105263157895
1.0	0.821130576124255	0.9956331877729258
1.0	0.787686479731313	0.9890829694323144
0.9947643979057592	0.3775419982316534	1.0
1.0	0.7927276898371186	0.973384030418251
0.9930191972076788	0.5311973018549747	0.447841726618705
0.7137870855148342	0.970131421744325	0.9886363636363636
0.9616055846422339	0.6977142857142857	0.8487394957983193
