kmer_id	target_family	group	hap_count	median_target_hits	mean_target_hits	q25_target_hits	q75_target_hits	median_target_density_per_M	measurable_haps
k16_411b0a0e	HSat3	G7	126	0.0	44.888888888888886	0.0	102.75	0.0	126
k16_411b0a0e	HSat3	NA	131	0.0	36.83206106870229	0.0	97.0	0.0	131
k16_43143e38	HSat2	G1	158	4458.5	3899.5949367088606	87.5	6577.0	242.18921767197054	158
k16_43143e38	HSat2	G2	42	3670.5	3569.095238095238	34.25	6070.75	234.71067030141603	42
k16_43143e38	HSat2	G3	289	4866.0	4042.6435986159167	32.0	6606.0	245.77843685719824	289
k16_43143e38	HSat2	NA	84	2652.5	3116.8690476190477	31.75	6014.0	149.367087842827	84
k16_43a0e814	HSat3	G1	59	382.0	371.64406779661016	288.0	435.5	22.03808832451662	59
k16_43a0e814	HSat3	G2	54	135.5	128.7962962962963	107.25	155.25	8.398186954818181	54
k16_43a0e814	HSat3	G3	70	143.0	133.0142857142857	109.25	160.5	8.22990050615438	70
k16_43a0e814	HSat3	G4	39	129.0	123.1025641025641	78.0	149.5	8.903679156643511	39
k16_43a0e814	HSat3	G5	47	297.0	326.6170212765957	244.0	391.0	17.685847117525107	47
k16_43a0e814	HSat3	G6	47	125.0	120.74468085106383	109.0	148.0	8.080079591092566	47
k16_43a0e814	HSat3	G7	126	134.5	132.0079365079365	109.25	161.0	8.44574830887191	126
k16_43a0e814	HSat3	NA	131	117.0	141.86259541984734	62.0	159.5	7.601140394025888	131
k16_476afbf4	HSat3	G1	59	12.0	78.2542372881356	4.0	148.0	1.3744887331440432	59
k16_476afbf4	HSat3	G2	54	9.0	58.592592592592595	5.0	158.5	0.5963573587039791	54
k16_476afbf4	HSat3	G3	70	7.0	68.61428571428571	4.0	161.75	0.45790490821568297	70
k16_476afbf4	HSat3	G4	39	135.0	86.53846153846153	3.0	162.0	6.328083831176739	39
k16_476afbf4	HSat3	G5	47	82.0	82.70212765957447	3.0	163.0	4.594446613164072	47
k16_476afbf4	HSat3	G6	47	145.0	98.19148936170212	5.5	163.0	6.923330409649864	47
k16_476afbf4	HSat3	G7	126	9.0	69.98412698412699	4.25	166.0	0.6273993382208922	126
k16_476afbf4	HSat3	NA	131	7.0	56.94656488549618	3.0	153.5	0.5737932554045587	131
